"site","date","flux"
"X13",2012-10-22,91.114804054
"X13",2012-10-23,28.519768731
"X13",2012-11-08,573.333051742
"X13",2012-11-17,18.827835203
"X13",2012-11-28,71.182956102
"X13",2012-11-29,466.800925788
"X13",2012-12-02,10.210915938
"X13",2012-12-21,145.767327718
"X13",2012-12-23,48.726944371
"X13",2013-03-05,29.152131651
"X13",2013-03-06,23.523122476
"X13",2013-04-07,18.19070163
"X13",2013-04-14,46.110917514
"X13",2013-04-15,28.694831632
"X13",2013-06-10,66.403003932
"X13",2013-06-19,12.436131387
"X13",2013-06-29,10.661426163
"X13",2013-07-02,13.148652442
"X13",2013-08-20,54.623391437
"X13",2013-09-21,91.005121256
"X13",2013-10-27,186.884499503
"X13",2013-10-28,13.753504205
"X13",2014-02-15,10.825218477
"X13",2014-03-10,16.28089888
"X13",2014-03-29,89.135174409
"X13",2014-04-22,27.118701552
"X13",2014-05-18,15.306040054
"X13",2014-06-10,42.100613701
"X13",2014-09-25,88.890462697
"X13",2014-10-15,12.567173147
"X13",2014-10-25,330.224033685
"X13",2014-10-31,38.647806275
"X13",2014-11-22,329.464290486
"X13",2014-11-28,115.414901833
"X13",2014-12-10,211.105535
"X13",2014-12-11,651.45197
"X13",2014-12-24,37.104895
"X13",2014-12-29,26.600595
"X13",2015-02-05,106.8036094
"X13",2015-02-06,210.218363232
"X13",2015-02-08,13.719399156
"X13",2015-04-05,297.924393491
"X13",2015-04-07,82.021518721
"X13",2015-04-13,107.204655686
"X13",2015-04-14,270.957278053
"X13",2015-05-03,15.806878421
"X13",2015-05-12,142.884223814
"X13",2015-05-13,44.848387316
"X13",2015-05-20,10.384840687
"X13",2015-05-31,25.268835788
"X13",2015-07-30,16.213933824
"X13",2015-08-08,15.84607843
"X13",2015-09-15,90.148983568
"X13",2015-09-16,41.119465332
"X13",2015-10-01,11.496797553
"X13",2015-11-15,151.857522371
"X13",2015-11-24,219.227041432
"X13",2015-12-03,105.471951909
"X13",2015-12-06,107.128579415
"X13",2015-12-10,217.570413863
"X13",2015-12-13,188.855536951
"X14",2011-02-15,115.498198735
"X14",2011-02-16,54.85896795
"X14",2011-03-10,239.387292342
"X14",2011-03-15,95.136451951
"X14",2011-03-18,13.725148843
"X14",2011-04-20,34.855733665
"X14",2011-04-25,128.132304743
"X14",2011-04-28,52.049489811
"X14",2011-05-14,29.881685958
"X14",2011-05-15,46.070667096
"X14",2011-05-25,641.917509472
"X14",2011-05-28,138.071458325
"X14",2011-05-30,20.385132177
"X14",2011-05-31,565.360317105
"X14",2011-06-01,307.970370554
"X14",2011-06-28,251.518008495
"X14",2011-07-30,16.524322815
"X14",2011-09-30,33.34142395
"X14",2011-10-01,10.297881732
"X14",2011-10-03,102.950132388
